S/NO.,ENTRYDATETIME,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT,EXITDATETIME
454,2022-06-01 17:51:00,C13471585144,1.11E+15,,Hourly         ,$2.35 ,2022-06-01 22:30:00
463,2022-06-01 17:54:00,C13471205455,1.00E+15,,Hourly         ,$2.27 ,2022-06-01 22:22:00
468,2022-06-01 17:56:00,C13467212981,1.11E+15,,Hourly         ,$3.16 ,2022-06-01 21:23:00
470,2022-06-01 17:56:00,C13474488295,1.11E+15,,Hourly         ,$2.21 ,2022-06-01 22:20:00
472,2022-06-01 17:56:00,C13566345685,1.11E+15,,Hourly         ,$2.21 ,2022-06-01 23:06:00
475,2022-06-01 17:59:00,C13471651846,1.11E+15,,Hourly         ,$3.04 ,2022-06-01 22:34:00
476,2022-06-01 18:00:00,C13472670936,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 20:54:00
478,2022-06-01 18:01:00,C13469237707,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 23:10:00
479,2022-06-01 18:01:00,C13473767626,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 21:59:00
482,2022-06-01 18:03:00,C13474947251,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 22:00:00
484,2022-06-01 18:04:00,C13566215664,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:52:00
486,2022-06-01 18:05:00,C13566493367,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 20:07:00
489,2022-06-01 18:07:00,C13475312404,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 23:07:00
491,2022-06-01 18:08:00,C13472764326,0,,Season         ,$0.00 ,2022-06-01 20:45:00
493,2022-06-01 18:09:00,C13474707035,1.01E+15,,Hourly         ,$2.10 ,2022-06-01 22:06:00
499,2022-06-01 18:11:00,C13474543414,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:50:00
503,2022-06-01 18:12:00,C13475258400,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:18:00
507,2022-06-01 18:15:00,C13565816503,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 22:49:00
510,2022-06-01 18:16:00,C13565961968,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 22:12:00
513,2022-06-01 18:17:00,C13566244407,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 20:24:00
519,2022-06-01 18:21:00,C13470432786,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 20:08:00
