S/NO.,TIME,STATION,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT
367,2/6/22 22:02,Exit      ,C13471286685,1.11E+15,,Hourly         ,$3.00 
368,2/6/22 22:12,Exit      ,C13474398718,1.11E+15,,Hourly         ,$3.00 
369,2/6/22 23:12,Exit      ,C13566104980,1.11E+15,,Hourly         ,$3.00 
370,2/6/22 23:14,Exit      ,C13566348834,0,,Use Ticket     ,$0.00 
371,2/6/22 23:18,Exit      ,C13565775741,1.11E+15,,Hourly         ,$3.00 
372,2/6/22 23:18,Exit      ,C13472175631,1.11E+15,,Hourly         ,$3.00 
373,2/6/22 23:19,Exit      ,C13471684909,1.11E+15,,Hourly         ,$3.00 
374,2/6/22 23:19,Exit      ,C13472684118,1.11E+15,,Hourly         ,$3.00 
375,2/6/22 23:24,Exit      ,C13566347508,1.11E+15,,Hourly         ,$3.00 
376,2/6/22 23:26,Exit      ,C13471383465,1.11E+15,,Hourly         ,$3.00 
377,2/6/22 23:35,Exit      ,C13473442617,1.11E+15,,Hourly         ,$3.00 
378,2/6/22 23:50,Exit      ,C13468910783,1.11E+15,,Hourly         ,$3.00 
379,2/6/22 23:55,Exit      ,C13472203052,1.11E+15,,Hourly         ,$3.00 
380,3/6/22 00:00,Exit      ,C13470526688,1.11E+15,,Hourly         ,$3.05 
381,3/6/22 00:08,Exit      ,C13471704975,1.11E+15,,Hourly         ,$3.45 
382,3/6/22 00:11,Exit      ,C13470514211,1.11E+15,,Hourly         ,$3.60 
383,3/6/22 00:11,Exit      ,C13566191977,1.11E+15,,Hourly         ,$3.60 
384,3/6/22 07:05,Entry     ,C13565903053,0,,Season         ,$0.00 
385,3/6/22 07:17,Entry     ,C13474601064,0,,Season         ,$0.00 
386,3/6/22 07:26,Exit      ,C13474601064,0,,Season         ,$0.00 
387,3/6/22 07:31,Entry     ,C13475420908,0,,Season         ,$0.00 
388,3/6/22 07:38,Entry     ,C13467736593,0,,Hourly         ,$0.00 
389,3/6/22 07:41,Entry     ,C13475104116,0,,Season         ,$0.00 
390,3/6/22 07:46,Entry     ,C13471728958,0,,               ,$0.00 
391,3/6/22 07:53,Entry     ,C13473875148,0,,Season         ,$0.00 
392,3/6/22 07:58,Entry     ,C13474691731,0,,               ,$0.00 
393,3/6/22 08:01,Entry     ,C13471891516,0,,Season         ,$0.00 
394,3/6/22 08:13,Entry     ,C13473459744,0,,Season         ,$0.00 
395,3/6/22 08:20,Entry     ,C13470818099,0,,Season         ,$0.00 
396,3/6/22 08:22,Entry     ,C13473770570,0,,Season         ,$0.00 
397,3/6/22 08:23,Entry     ,C13472444959,0,,Season         ,$0.00 
398,3/6/22 08:24,Entry     ,C13474601064,0,,Season         ,$0.00 
399,3/6/22 08:26,Entry     ,C13473144081,0,,Season         ,$0.00 
400,3/6/22 08:36,Entry     ,C13472559297,0,,Season         ,$0.00 
401,3/6/22 08:37,Entry     ,C13474821932,0,,Season         ,$0.00 
402,3/6/22 08:38,Entry     ,C13565818936,0,,Hourly         ,$0.00 
403,3/6/22 08:39,Entry     ,C13474839968,0,,Season         ,$0.00 
404,3/6/22 08:43,Entry     ,C13475026805,0,,Season         ,$0.00 
405,3/6/22 08:44,Entry     ,C13471773724,0,,               ,$0.00 
406,3/6/22 08:44,Entry     ,C13473417907,0,,Hourly         ,$0.00 
407,3/6/22 08:46,Entry     ,C13471638926,0,,               ,$0.00 
408,3/6/22 08:46,Entry     ,C13566474525,0,,Season         ,$0.00 
409,3/6/22 08:47,Entry     ,C13472983023,0,,Season         ,$0.00 
410,3/6/22 08:47,Entry     ,C13474484765,0,,Season         ,$0.00 
411,3/6/22 08:52,Entry     ,C13471054099,0,,Season         ,$0.00 
412,3/6/22 08:59,Entry     ,C13474437302,0,,Season         ,$0.00 
413,3/6/22 09:02,Entry     ,C13472907504,0,,Season         ,$0.00 
414,3/6/22 09:04,Entry     ,C13472299008,0,,Season         ,$0.00 
415,3/6/22 09:07,Entry     ,C13469137501,0,,Season         ,$0.00 
416,3/6/22 09:22,Entry     ,C13470823380,0,,Season         ,$0.00 
417,3/6/22 09:29,Entry     ,C13474031805,0,,Season         ,$0.00 
418,3/6/22 09:31,Entry     ,C13566220473,0,,Hourly         ,$0.00 
419,3/6/22 09:37,Entry     ,C13469187669,0,,Hourly         ,$0.00 
